ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.85.205.137","elite","AS52554","BR","S. A. da Silva Junior","192","S. A. da Silva Junior","3629","socks4","93","1","2023-01-25T14:09:34.758Z","100","909","909"
"168.227.158.73","elite","AS52898","BR","Multipla Serviços Inteligentes","235","Multipla Serviços Inteligentes","4145","socks4","60","1","2023-01-25T14:09:34.397Z","100","881","883"
"150.220.8.228","elite","AS11427","US","Charter Communications","177","Spectrum","64312","socks4","61","1","2023-01-25T14:09:33.334Z","99","900","905"
"223.199.16.104","elite","AS4134","CN","Chinanet","222","Hainan TELECOM","9999","socks5","68","1","2023-01-25T14:09:33.267Z","56","502","893"
"178.212.55.57","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","37","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","89","1","2023-01-25T14:09:33.866Z","97","870","895"
"104.251.81.87","elite","AS11325","US","Altus Communications Inc.","83","BraveWay","14778","socks5","386","1","2023-01-25T14:09:32.417Z","100","904","905"
"203.80.190.162","elite","AS38592","BD","Chittagong Online Limited","164","CTGONLINENET","8080","socks4","38","1","2023-01-25T14:09:32.718Z","98","859","873"
"38.83.108.89","elite","AS63199","US","Cogent Communications","113","CDS Global Cloud Co., Ltd","5678","socks4","65","1","2023-01-25T14:09:32.038Z","100","906","908"
"185.162.95.125","elite","AS41722","RU","MIRAN-VS","52","N/A","10001","socks4","66","1","2023-01-25T14:09:32.037Z","100","835","836"
"182.52.67.122","elite","AS23969","TH","TOT Public Company Limited","171","Addresses for","50801","socks4","167","1","2023-01-25T14:09:32.036Z","100","907","909"
"103.240.34.218","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","188","Vihaan","8291","socks4","67","1","2023-01-25T14:09:32.715Z","83","743","898"
"185.198.181.140","elite","AS201105","ES","Wifi Intersur S.L.","25","Intersur Movil S.L","5678","socks4","119","1","2023-01-25T14:09:32.415Z","100","828","828"
"78.47.113.108","anonymous","AS24940","DE","Hetzner Online GmbH","14","Hetzner","33128","http","202","2327","2023-01-25T14:09:32.414Z","100","898","898"
"183.88.192.215","elite","AS45629","TH","Triple T Broadband Public Company Limited","175","Triple T Broadband Public Company Limited","8080","socks4","59","1","2023-01-25T14:09:32.511Z","99","844","849"
"163.172.84.250","elite","AS12876","FR","Online S.A.S.","0","ONLINE","9741","http","92","788","2023-01-25T14:09:32.040Z","100","909","909"
"45.8.107.142","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks4","177","1","2023-01-25T14:09:32.217Z","100","853","853"
"185.162.229.215","elite","AS209242","GB","Cloudflare London, LLC","1","Softconstruct Limited","80","socks4","125","1","2023-01-25T14:09:32.219Z","100","889","891"
"203.32.120.202","elite","AS209242","VG","Cloudflare London, LLC","1","Anaga Consulting Limited","80","socks4","375","1","2023-01-25T14:09:32.211Z","100","787","787"
"101.51.121.29","elite","AS23969","TH","TOT Public Company Limited","157","TOT Public Company Limited","4153","socks4","97","1","2023-01-25T14:09:32.037Z","100","908","910"
"155.133.83.45","elite","AS199250","PL","CENTRUM KOMPUTEROWE \"PARTNET\" MIROSLAW WOLSZLEGIER","38","MIKRONET Wenderski Jaroslaw","58351","socks4","47","1","2023-01-25T14:09:32.675Z","100","906","908"
"104.129.206.65","elite","AS22616","US","ZSCALER, INC.","91","Zscaler, Inc.","8800","socks4","45","1","2023-01-25T14:09:32.688Z","98","890","910"
"103.208.203.1","elite","AS133275","IN","Gigantic","171","N/A","5678","socks4","123","1","2023-01-25T14:09:32.500Z","99","881","886"
"189.201.191.65","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","137","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","69","1","2023-01-25T14:09:31.465Z","100","902","904"
"154.72.73.226","elite","AS30844","TZ","RAHA-LTZ","151","N/A","4145","socks4","549","1","2023-01-25T14:09:31.255Z","94","851","909"
"161.35.188.95","elite","AS14061","US","DigitalOcean, LLC","78","DigitalOcean, LLC","3128","socks4","55","1","2023-01-25T14:09:31.467Z","100","886","888"
"212.72.149.234","elite","AS16010","GE","SANET-BOLNISI","226","Sanet LTD","4145","socks4","111","1","2023-01-25T14:09:31.426Z","76","693","908"
"202.157.76.67","anonymous","AS17753","IN","Data Infosys Ltd","150","N/A","3129","http","50","312","2023-01-25T14:09:31.520Z","100","790","792"
"203.194.21.241","elite","AS7545","AU","TPG Internet Pty Ltd","300","Tricon Group","4153","socks4","50","1","2023-01-25T14:09:31.468Z","100","907","907"
"50.237.206.174","elite","AS7922","US","Comcast Cable Communications, LLC","102","Comcast Cable Communications, LLC","64312","socks4","518","1","2023-01-25T14:09:31.031Z","100","907","909"
"118.174.46.147","elite","AS131293","TH","TOT Public Company Limited","179","TOT Public Company Limited","45764","socks4","192","1","2023-01-25T14:09:31.414Z","95","854","895"
"124.105.187.68","elite","AS9299","PH","Philippine Long Distance Telephone Co.","240","Philippine Long Distance Telephone Company","13629","socks4","102","1","2023-01-25T14:09:31.427Z","98","895","909"
"105.213.131.167","elite","AS16637","ZA","MTN SA","186","MTN SA","5678","socks4","204","1","2023-01-25T14:09:31.413Z","97","818","846"
"117.10.124.11","elite","AS4837","CN","CNC Group CHINA169 Tianjin Province Network","279","N/A","1080","socks4","492","1","2023-01-25T14:09:31.347Z","82","671","814"
"210.245.51.23","elite","AS18403","VN","FPT Telecom Company","214","Vietnam Internet Network Information Center","4145","socks4","520","1","2023-01-25T14:09:31.345Z","98","888","907"
"103.110.59.3","elite","AS38026","BD","MetroTel Bangladesh Ltd","185","N/A","35294","socks4","86","1","2023-01-25T14:09:31.466Z","95","868","910"
"60.212.201.154","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","192","N/A","23456","socks4","412","1","2023-01-25T14:09:31.380Z","97","763","789"
"186.251.255.217","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","214","Seanet Telecom Carazinho Eireli","31337","socks4","124","2","2023-01-25T14:09:31.425Z","100","851","853"
"117.176.150.231","elite","AS9808","CN","China Mobile communications corporation","275","China Mobile","51080","socks4","488","1","2023-01-25T14:09:31.033Z","93","735","791"
"49.48.34.223","elite","AS45629","TH","Triple T Broadband Public Company Limited","177","Triple T Broadband Public Company Limited","4145","socks4","527","1","2023-01-25T14:09:31.256Z","92","836","908"
"101.42.116.41","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","161","Tencent Cloud Computing (Beijing) Co., Ltd","10809","socks4","140","1","2023-01-25T14:09:30.571Z","97","880","910"
"202.137.24.18","elite","AS9905","ID","LINKNET","170","N/A","7890","socks4","617","1","2023-01-25T14:09:30.239Z","99","899","906"
"211.174.105.26","elite","AS4766","KR","Korea Telecom","231","Netropy","4153","socks4","466","1","2023-01-25T14:09:30.870Z","99","901","907"
"128.199.131.98","elite","AS14061","SG","DigitalOcean, LLC","162","DigitalOcean, LLC","18182","socks5","49","1","2023-01-25T14:09:30.573Z","100","801","803"
"89.161.70.115","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","38","TPODLASIE CATV Network","5678","socks4","251","1","2023-01-25T14:09:30.412Z","99","844","854"
"185.236.46.221","elite","AS50115","UA","TELECOMTRADE","52","N/A","5678","socks4","583","1","2023-01-25T14:09:30.382Z","78","697","891"
"95.78.119.94","elite","AS42116","RU","CJSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","59","JSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","1080","socks5","52","1","2023-01-25T14:09:30.766Z","99","882","894"
"122.70.153.17","elite","AS24138","CN","China TieTong Telecommunications Corporation","301","China TieTong Telecommunications Corporation","80","socks4","51","1","2023-01-25T14:09:30.309Z","53","475","892"
"190.14.224.244","elite","AS27951","CO","Media Commerce Partners S.A","155","URB.E","3629","socks4","79","1","2023-01-25T14:09:30.308Z","99","901","910"
"157.185.157.151","elite","AS54994","US","Quantil Networks Inc","112","Quantil Networks Inc","26589","socks5","119","1","2023-01-25T14:09:30.620Z","99","781","788"
"154.79.248.156","elite","AS36926","KE","Airtel KE Mobile & Fixed Internet","193","N/A","5678","socks4","423","1","2023-01-25T14:09:30.606Z","97","773","795"
"41.60.234.235","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","146","Liquid Telecommunications Operations Limited","5678","socks4","473","1","2023-01-25T14:09:29.259Z","70","563","810"
"159.192.139.42","elite","AS131090","TH","CAT-BB","217","N/A","5678","socks4","273","1","2023-01-25T14:09:29.880Z","98","874","892"
"177.184.67.25","elite","AS52898","BR","Multipla Serviços Inteligentes","235","Multipla Serviços Inteligentes","4145","socks4","750","1","2023-01-25T14:09:29.814Z","100","898","898"
"103.79.96.174","elite","AS64308","ID","PT IndoDev Niaga Internet","197","PT IndoDev Niaga Internet","4153","socks4","234","1","2023-01-25T14:09:29.937Z","100","822","825"
"177.66.195.116","elite","AS262503","BR","Wiki Telecomunicacoes Eireli","189","Maranhão Telecom ltda ME","4145","socks4","501","1","2023-01-25T14:09:29.461Z","99","859","871"
"103.47.93.227","elite","AS134058","IN","Broban Internet Services Pvt.ltd","224","Broban  PVT Ltd.","1080","socks4","829","1","2023-01-25T14:09:29.338Z","100","903","906"
"109.73.189.36","elite","AS49924","IT","ECROM-MAIN","42","N/A","5678","socks4","596","1","2023-01-25T14:09:29.350Z","60","542","909"
"158.58.134.15","elite","AS47586","RU","Dmitriy V. Kozmenko","78","Business-Svyaz LTD","5678","socks4","256","1","2023-01-25T14:09:29.924Z","84","683","813"
"192.81.216.55","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","7497","socks5","236","1","2023-01-25T14:09:29.496Z","100","865","866"
"102.66.234.1","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","202","Herotel","5678","socks4","560","1","2023-01-25T14:09:29.464Z","63","504","803"
"103.59.190.2","elite","AS58678","IN","Flash Broadband Pvt Ltd","197","Flash Broadband Pvt Ltd","56252","socks4","738","1","2023-01-25T14:09:29.815Z","99","906","911"
"51.75.124.39","elite","AS16276","FR","OVH SAS","5","OVH","47819","socks4","127","1","2023-01-25T14:09:29.945Z","73","628","864"
"51.83.140.70","elite","AS16276","PL","OVH SAS","30","OVH Sp. z o. o","8181","socks5","150","1","2023-01-25T14:09:29.935Z","100","908","909"
"167.114.96.27","elite","AS16276","CA","OVH SAS","86","OVH Hosting, Inc.","9300","http","318","329","2023-01-25T14:09:29.348Z","100","792","792"
"193.110.115.220","elite","AS9205","UA","\"SATELIT SERVIS\" Ltd","55","SNS-BLOCK1","5678","socks4","570","1","2023-01-25T14:09:29.815Z","86","732","855"
"5.9.169.87","elite","AS24940","DE","Hetzner Online GmbH","16","Enterbrain Software GmbH","30000","socks4","717","1","2023-01-25T14:09:29.340Z","100","829","829"
"85.248.57.129","elite","AS5578","SK","SWAN, a.s.","24","Aservices Modra","4153","socks4","732","1","2023-01-25T14:09:29.339Z","100","907","910"
"103.233.154.18","elite","AS17451","ID","BIZNET","192","N/A","4145","socks4","810","1","2023-01-25T14:09:29.686Z","99","903","909"
"93.171.241.18","elite","AS8870","UA","tom nets","39","Campus City Ltd","1080","socks4","295","1","2023-01-25T14:09:29.525Z","100","908","908"
"202.123.178.202","elite","AS24337","LA","Sky Telecom State Company","228","Skytelfibernet","30208","socks4","524","1","2023-01-25T14:09:29.879Z","99","864","871"
"139.59.6.54","elite","AS14061","IN","DIGITALOCEAN","164","DigitalOcean, LLC","54571","socks5","458","1","2023-01-25T14:09:29.260Z","99","903","909"
"93.43.193.230","elite","AS12874","IT","Fastweb SpA","29","Fastweb Internet NGA","8080","socks4","539","1","2023-01-25T14:09:29.415Z","100","907","907"
"14.161.17.4","elite","AS45899","VN","VNPT","216","Vietnam Posts and Telecommunications Group","4153","socks4","370","1","2023-01-25T14:09:28.426Z","100","906","909"
"101.51.105.154","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","195","1","2023-01-25T14:09:28.149Z","77","698","910"
"178.132.4.53","elite","AS49981","NL","WorldStream B.V.","14","Worldstream","443","socks4","384","1","2023-01-25T14:09:28.599Z","100","908","908"
"170.254.255.247","elite","AS52584","BR","Connect Fibra","207","Connect Fibra","45816","socks4","355","1","2023-01-25T14:09:28.600Z","97","776","804"
"103.35.109.138","elite","AS23991","BD","Ranks ITT","203","Ranks ITT Ltd.","4145","socks4","280","1","2023-01-25T14:09:28.047Z","100","905","909"
"103.94.1.98","elite","AS9341","ID","ICONPLN","242","N/A","1080","socks4","181","1","2023-01-25T14:09:28.153Z","91","824","910"
"189.204.254.186","anonymous","AS18734","MX","Operbes, S.A. de C.V.","143","Operbes, S.A. de C.V","999","http","512","338","2023-01-25T14:09:28.431Z","99","783","793"
"177.105.68.222","elite","AS262637","BR","Netprimus Tecnologia Ltda","192","Netprimus Tecnologia Ltda","4153","socks4","514","1","2023-01-25T14:09:28.036Z","100","825","826"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","1","APNIC and Cloudflare DNS Resolver project","80","socks4","228","1","2023-01-25T14:09:28.037Z","100","866","866"
"177.37.165.62","elite","AS28126","BR","Brisanet Servicos De Telecomunicacoes Ltda","189","Brisanet Servicos De Telecomunicacoes Ltda","4153","socks4","527","1","2023-01-25T14:09:28.866Z","100","888","889"
"121.101.185.69","elite","AS38785","ID","BAGUSNET","208","N/A","43296","socks4","410","1","2023-01-25T14:09:28.745Z","93","821","884"
"113.254.249.138","elite","AS9304","HK","HGC Global Communications Limited","213","HGC Global Communications Limited","8193","http","547","782","2023-01-25T14:09:28.272Z","100","828","830"
"171.244.68.28","elite","AS7552","VN","Viettel Corporation","182","VIETEL","5678","socks4","549","1","2023-01-25T14:09:28.423Z","100","903","904"
"202.158.49.138","elite","AS4787","ID","PT. Cyberindo Aditama","190","N/A","39172","socks4","541","1","2023-01-25T14:09:28.265Z","92","835","904"
"177.93.78.9","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","192","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","420","1","2023-01-25T14:09:28.744Z","96","867","905"
"187.94.211.15","elite","AS53078","BR","Acesse Comunicação Ltda","212","Acesse Comunicação Ltda","2580","socks5","397","1","2023-01-25T14:09:28.425Z","90","800","884"
"154.66.108.34","elite","AS37642","LS","Comnet Pty Ltd","205","ISPClients","10081","socks4","430","1","2023-01-25T14:09:28.744Z","99","897","909"
"202.131.159.26","elite","AS17443","IN","Karuturi Telecom Pvt Ltd","218","Ibus Virtual Network Services Private Limited","5678","socks4","518","1","2023-01-25T14:09:28.266Z","42","345","827"
"111.90.158.144","elite","AS45839","MY","Shinjiru Technology Sdn Bhd","166","Shinjiru Technology Sdn Bhd","19963","socks5","171","1","2023-01-25T14:09:28.151Z","98","884","898"
"95.38.95.40","elite","AS41881","IR","Fanava Group","99","Fanava Group","8085","socks5","219","1","2023-01-25T14:09:28.044Z","93","753","808"
"177.86.64.253","elite","AS262623","BR","claudio jose lara -me","196","claudio jose lara -me","3629","socks4","711","1","2023-01-25T14:09:27.783Z","99","902","910"
"168.227.158.21","elite","AS52898","BR","Multipla Serviços Inteligentes","234","Multipla Serviços Inteligentes","4145","socks4","341","1","2023-01-25T14:09:27.066Z","100","823","826"
"173.255.199.69","elite","AS63949","US","Linode, LLC","114","Linode","19151","socks5","331","1","2023-01-25T14:09:27.066Z","100","907","908"
"109.68.189.22","elite","AS31430","RU","OOO Suntel","49","OOO TD Arsenal bezopasnosti","54643","socks4","727","1","2023-01-25T14:09:27.782Z","82","741","908"
"88.213.214.254","elite","AS61071","BG","Netbox LTD","51","Netbox LTD","4145","socks4","297","1","2023-01-25T14:09:27.967Z","100","874","878"
"138.201.92.34","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","1080","socks5","385","1","2023-01-25T14:09:27.061Z","95","750","793"
"103.251.83.14","elite","AS45804","IN","M.B. Corporation","178","M.B. Corporation","44550","socks4","786","1","2023-01-25T14:09:27.646Z","98","895","909"
"37.98.218.137","elite","AS8374","PL","Polkomtel S.A","64","Polkomtel Sp. z o.o","5678","socks4","561","1","2023-01-25T14:09:27.939Z","84","761","907"
"103.214.156.24","elite","AS135339","BD","Fuad Muhammad Shorfuddin","174","N/A","5678","socks4","685","1","2023-01-25T14:09:27.783Z","89","704","791"
"172.64.152.98","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","764","1","2023-01-25T14:09:27.818Z","100","802","802"
"38.127.179.34","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","11537","socks5","503","1","2023-01-25T14:09:27.074Z","100","849","850"
"198.98.49.197","elite","AS53667","US","FranTech Solutions","75","FranTech Solutions","30346","socks4","400","1","2023-01-25T14:09:27.070Z","100","873","873"
"154.62.132.163","elite","AS174","GB","Cogent Communications","125","IPX International EG","4153","socks4","595","1","2023-01-25T14:09:27.807Z","40","355","878"
"85.100.40.12","elite","AS47331","TR","TurkTelecom","64","Turk Telekomunikasyon A.S","5678","socks4","458","1","2023-01-25T14:09:27.069Z","91","822","907"
"185.245.38.200","elite","AS204623","RU","OOO New Line","49","OOO New Line","4145","socks4","206","1","2023-01-25T14:09:27.969Z","83","656","787"
"5.130.185.31","elite","AS31200","RU","Novotelecom Ltd","99","Novotelecom ltd.","10801","socks5","822","1","2023-01-25T14:09:27.792Z","51","427","835"
"103.245.164.79","anonymous","AS56309","TH","Siamdata Communication Co.","174","Siamdata (Lao) Co., Ltd","3128","https","568","235","2023-01-25T14:09:26.303Z","99","843","851"
"170.80.91.15","elite","AS264820","CR","Corebases S.A","304","Corebases S.A","4145","socks4","920","1","2023-01-25T14:09:26.376Z","100","890","892"
"14.102.43.58","elite","AS18002","IN","World Phone Internet Services Pvt Ltd","222","N/A","9999","socks4","1012","1","2023-01-25T14:09:26.193Z","99","898","910"
"5.9.147.197","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30000","socks4","1027","1","2023-01-25T14:09:26.192Z","100","829","829"
"176.31.182.185","elite","AS16276","FR","OVH ISP","4","OVH","9050","socks5","984","1","2023-01-25T14:09:26.376Z","34","302","894"
"199.195.253.35","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30637","socks4","573","1","2023-01-25T14:09:26.203Z","98","829","849"
"222.129.36.1","elite","AS4808","CN","China Unicom Beijing Province Network","291","N/A","4145","socks4","560","1","2023-01-25T14:09:26.676Z","96","786","819"
"190.186.1.177","anonymous","AS25620","BO","Cotas Ltda.","216","Cotas Ltda","999","http","980","488","2023-01-25T14:09:26.663Z","97","772","792"
"5.160.186.110","elite","AS42337","IR","Respina Networks & Beyond PJSC","128","Respina","5678","socks4","696","1","2023-01-25T14:09:26.027Z","96","874","910"
"95.182.78.10","elite","AS50648","UA","PE UAinet","51","PE UAinet","5678","socks4","919","1","2023-01-25T14:09:26.662Z","98","816","836"
"192.53.171.180","elite","AS63949","US","Linode, LLC","118","Linode, LLC","10200","socks4","383","1","2023-01-25T14:09:26.531Z","100","890","893"
"178.212.65.61","elite","AS47939","UA","TDV \"Teleradio company \"Yalta\"","75","Yaltatvnet","3629","socks4","958","1","2023-01-25T14:09:26.195Z","99","898","904"
"78.186.98.171","elite","AS9121","TR","TurkTelecom","307","N/A","1080","socks4","506","1","2023-01-25T14:09:26.524Z","79","675","855"
"165.22.186.178","elite","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","8888","socks4","996","1","2023-01-25T14:09:26.374Z","100","881","883"
"38.127.173.253","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks5","574","1","2023-01-25T14:09:26.388Z","100","848","851"
"188.241.45.142","elite","AS199335","GB","Talk Straight Ltd.","17","N/A","2021","socks5","907","1","2023-01-25T14:09:26.662Z","100","906","908"
"207.200.138.35","elite","AS19662","CA","Uniserve On Line","156","Uniserve On Line","5678","socks4","556","1","2023-01-25T14:09:26.384Z","99","827","833"
"171.35.147.205","elite","AS4837","CN","China Unicom Jiangxi Province Network","176","N/A","9999","socks4","909","1","2023-01-25T14:09:26.377Z","76","611","807"
"101.255.165.126","elite","AS38511","ID","PT Remala Abadi","169","N/A","80","socks4","497","1","2023-01-25T14:09:26.858Z","99","794","803"
"46.98.192.233","elite","AS15377","UA","ISP \"Fregat\"","53","ISP \"Fregat\" Ltd.","5678","socks4","679","1","2023-01-25T14:09:26.856Z","97","875","906"
"43.128.62.125","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","337","Tencent Cloud Computing","23642","socks5","850","1","2023-01-25T14:09:26.663Z","81","722","887"
"176.9.32.90","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","39433","socks5","372","1","2023-01-25T14:09:25.278Z","100","870","870"
"104.223.45.93","elite","AS8100","US","QuadraNet Enterprises LLC","144","QuadraNet","80","socks5","489","1","2023-01-25T14:09:25.270Z","100","846","849"
"168.227.158.1","elite","AS52898","BR","Multipla Serviços Inteligentes","238","Multipla Serviços Inteligentes","4145","socks4","1102","1","2023-01-25T14:09:25.266Z","100","890","891"
"185.66.59.225","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","23","Svint","42647","socks4","1059","1","2023-01-25T14:09:25.529Z","100","906","906"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","478","1","2023-01-25T14:09:25.050Z","100","905","907"
